what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352513964780
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1352513965802
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1352513969479
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352513974227
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352513987099
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352513994376
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1352513999890
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352514287277
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352514289175
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1352514290701
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1352514296728
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1352514299883
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1352514309166
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352514313067
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352514319072
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1352514319343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352514327754
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352514330688
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1352514331092
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352514342365
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352514344687
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1352514379641
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1352514413989
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1352514417577
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deleteNext",1352514426147
