what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1352498346868
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1352498352538
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.cut.line.to.end",1352498353460
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.cut.line.to.end",1352498353975
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352498354957
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1352498363173
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352498413079
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352498416193
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1352498416410
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1352498416512
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.openResource",1352498416512
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1352498431339
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352498445435
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352498459650
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352498462934
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352498505891
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352498508448
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352498514500
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352498524630
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352498525787
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352498526782
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352498528475
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352498577187
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1352498582332
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1352498589859
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineDown",1352498600739
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deleteNext",1352498601268
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineDown",1352498602683
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1352498603000
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1352498604238
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1352498609537
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1352498609683
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1352498610704
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352498618954
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352498634046
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352498639933
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352498659042
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352498677925
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1352498683485
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1352498684957
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1352498688846
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1352498698061
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352498713133
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352498799999
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352498802306
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352499028559
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1352499032595
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352499051156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352499053143
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1352499053336
